%META:TOPICINFO{author="CarlEdquist" date="1392757269" format="1.1" version="1.5"}%
%STARTSECTION{"GratiaProbes"}%  
|*Probe #*|*Probe Name*|*Purpose*|*Author*|*Maintainer*|*Stakeholder/Customer*|*Installed at*|
|1|bdii-status|collects bdii info|B. Bockelman|OSG Software Team/Matyas Selmeci|OSG|Nebraska|
|2|condor|monitors job submitted via condor|B. Bockelman|OSG Software Team/Carl Edquist|OSG/FermiGrid|gatekeeper node running condor|
|3|glideinwms|provides configuration file for condor schedd, to select BatchPilot record, should be used on CampusGird submission nodes|D. Weitzel|gratia team|!CampusGrid|submission nodes|
|4|glexec|monitors glexec logs|D. Weitzel|gratia team|!FermiGrid|worker nodes|
|5| metric | RSV reports | ? | OSG Software Team<br>Mat Selmeci | OSG | gatekeeper node |
|6|pbs-lsf|monitors job submitted via PBS or LSF|?|OSG Software Team/Carl Edquist|OSG/FermiGrid|gatekeeper node running PBS/ LSF|
|7|psacct|linux accounting|?|gratia team|!FermiGrid|worker nodes|
|8|sge|monitors job submitted via SGE|Shreyas Cholia, NERSC-LBL|OSG Software Team/Carl Edquist|OSG| gatekeeper noderunning SGE|
|9|dCache- transfer|monitors transfer submited to dcache (scan billing database)|Gregory Sharp, B. Bokelman, A. Baranovski|OSG Software Team|OSG/FermiGrid|dcache admin node|
|10|dCache- storage|monitors storage area and pools utilization (pull info from Information provider)|A. Baranovski|OSG Software Team/Neha Sharma|OSG/FermiGrid|dcache admin node|
| 11 | xrootd-transfer | gathers information about xrootd transfer from xrootd monitor | Brian Bockelman | OSG Software Team<br>Mat Selmeci | OSG | usually on xrootd redirector |
| 12 | xrootd-storage | gathers storage area and raw disk utilization | Brian Bockelman | OSG Software Team<br>Mat Selmeci | OSG | usually on xrootd redirector |
| 13 | hadoop-storage | gathers storage area and raw disk utilization | Brian Bockelman | OSG Software Team<br>Mat Selmeci | OSG | hadoop name node |
| 14 | gridftp-transfer | monitors transfer by parsing !GridFTP logs | A. Baranovski | OSG Software Team<br>TBD | OSG/FermiGrid | !BeStMan, !GridFTP nodes |
|15|slurm|monitors job submitted via SLURM|John Thiltges| OSG Software Team/Brian Bockelman|OSG|Nebraska|
|16|onevm|monitors VM creation/deletion|Tanya Levshina/Parag Mhashilkar|gratia team|!FermiCloud|!FermiCloud Opennebula head node|
|17|services|generic libs|?|gratia team|OSG/FermiGrid|everywhere|
|18|common|generic libs|?|gratia team|OSG/FermiGrid|everywhere|
%ENDSECTION{"GratiaProbes"}% 

-- Main.TanyaLevshina - 13 Dec 2011
