%META:TOPICINFO{author="KyleGross" date="1225985951" format="1.1" version="1.3"}%
%META:TOPICPARENT{name="GridAdminstratorSupport"}%
---++VirtualOrganizations/VOInfoMS Administrators

| *VirtualOrganizations/VOInfo Name* | *VirtualOrganizations/VOInfoMS URL* | *Privilege URL* |
| CDF | https://voms.cnaf.infn.it:8443/voms/cdf/ | |
| CMS | https://voms.fnal.gov:8443/edg-voms-admin/uscms/index.html | http://www.uscms.org/SoftwareComputing/Grid/Config/ |
| DES | https://voms.fnal.gov:8443/edg-voms-admin/des/services/VirtualOrganizations/VOInfoMSAdmin | | 
| DOSAR | https://thegrid.dpcc.uta.edu:8443/edg-voms-admin/dosar/index.html | https://thegrid.dpcc.uta.edu:8443/edg-voms-admin/dosar/grid.html |
| DZero | vomss://voms.fnal.gov:8443/edg-voms-admin/dzero?/dzero/users | |
| Fermilab | https://voms.fnal.gov:8443/vomrs/vo-fermilab/vomrs | | 
| fMRI | https://grid03.uits.indiana.edu:8443/edg-voms-admin/vos?vos/fmri | | 
| GADU | https://fermigrid2.fnal.gov:8443/vomrs/vo-gadu/vomrs | | 
| geant4 | lcg-voms.cern.ch:8443/vo/geant4/vomrs | | 
| GLOW | https://glow-voms.cs.wisc.edu:8443/edg-voms-admin/GLOW/index.html | | 	 
| GRASE | https://dylan.ccr.buffalo.edu:8443/edg-voms-admin/GRASE/ | | 
| GridChem | tba | |
| GridEx | https://grid03.uits.indiana.edu:8443/edg-voms-admin/vos/webui/UserRequest | | 	 
| GROW | https://grow-voms.its.uiowa.edu:8443/edg-voms-admin/grow | | 
| i2u2 | https://voms.fnal.gov:8443/voms/i2u2/services/VirtualOrganizations/VOInfoMSAdmin | https://voms.fnal.gov:8443/voms/i2u2/services/VirtualOrganizations/VOInfoMSAdmin |
| iVDGL | https://grid03.uits.indiana.edu:8443/edg-voms-admin/vos/webui/UserRequest | http://www.ivdgl.org/~ivdgl/ivdgl-vo-privilege.html |
| LIGO | https://ligo-web.aset.psu.edu:8443/voms/LIGO/ | http://osg.ivdgl.org/twiki/bin/view/Provisioning/LigoPrivilege |
| mariachi | https://www-mariachi.physics.sunysb.edu/voms/mariachi/services/VirtualOrganizations/VOInfoMSAdmin | https://www-mariachi.physics.sunysb.edu/voms/mariachi/ |
| MIS | https://grid03.uits.indiana.edu:8443/edg-voms-admin/vos/webui/UserRequest | http://www.ivdgl.org/~ivdgl/mis-vo-privilege.html |
| nanoHUB | https://fermigrid2.fnal.gov:8443/edg-voms-admin/nanohub/index.html | https://fermigrid2.fnal.gov:8443/edg-voms-admin/nanohub/index.html |
| NWICG | https://vo.rcac.purdue.edu:8443/voms/NWICG/services/VirtualOrganizations/VOInfoMSAdmin | | 
| Ops | https://lcg-voms.cern.ch:8443/vo/ops/vomrs?path=/RootNode&action=execute | http://www.ivdgl.org/~ivdgl/ops-vo-privilege.html |
| OSG | https://grid03.uits.indiana.edu:8443/edg-voms-admin/vos/webui/UserRequest | http://www.ivdgl.org/~ivdgl/osg-vo-privilege |
| OSGEDU | https://grid03.uits.indiana.edu:8443/edg-voms-admin/vos/webui/UserRequest | http://www.ivdgl.org/~ivdgl/osgedu-vo-privilege |
| SDSS | https://voms.fnal.gov:8443/edg-voms-admin/sdss/index.html?/sdss/production | | 
| STAR | vomss://vo.racf.bnl.gov:8443/edg-voms-admin/star | | 
| USATLAS | voms goes here | http://grid.racf.bnl.gov/GUMS/guide_howto_configuration.html |
