%META:TOPICINFO{author="RobQ" date="1403621731" format="1.1" reprev="1.1" version="1.1"}%
%META:TOPICPARENT{name="WebHome"}%
---+ Inventory of OSG Web Presence

---++ Introduction

The follow tables offer an inventory of the web presence of the Open Science Grid.

---++ Web Presence

| Site | Location | Administrator | Host | Notes |
| Open Science Grid | www.opensciencegrid.org | OSG Operations | OSG Operations | |
| Campus Grids Home | www.campusgrids.org | OSG Connect | OSG Connect | |
| OSG Connect Home | osgconnect.net | OSG Connect | OSG Connect | | 
| OSG !TWiki | twiki.opensciencegrid.org | OSG Operations | OSG Operations | |
| OSG Blog Aggregation | blogs.opensciencegrid.org | OSG Operations | OSG Operations | See List Below of Individual Blogs |
| OSG Document DB | osg-docdb.opensciencegrid.org/ | OSG Operations (FNAL) | FNAL | | 
| OSG Twitter | twitter.com/opensciencegrid | OSG Operations | Twitter | | 
| OSG Confluence | confluence.grid.iu.edu/display/HOME/OSG+Confluence+Home | OSG Operations | OSG Operations | Home of !ConnectBook | 
| BOSCO Home | bosco.opensciencegrid.org | OSG Operations | OSG Operations | |
| Facebook Group | https://www.facebook.com/groups/opensciencegrid/ | OSG Operations | Facebook | Not Used | 
| Wikipedia Entry | http://en.wikipedia.org/wiki/Open_Science_Grid_Consortium | wikipedia community | Wikipedia | |

---++ Blogs Aggregated at blogs.opensciencegrid.org



-- Main.RobQ - 24 Jun 2014
