%META:TOPICINFO{author="KyleGross" date="1389800205" format="1.1" version="1.24"}%
%META:TOPICPARENT{name="WebHome"}%
| *Name* | *URL* | *Date Updated* | *Submitter* |*Details* |
| Status of GOC Services | http://myosg.grid.iu.edu/rgstatushistory/index?summary_attrs_showrsvstatus=on&gip_status_attrs_showtestresults=on&downtime_attrs_showpast=&account_type=cumulative_hours&ce_account_type=gip_vo&se_account_type=vo_transfer_volume&bdiitree_type=total_jobs&bdii_object=service&bdii_server=is-osg&start_type=7daysago&start_date=05%2F17%2F2010&end_type=today&end_date=05%2F24%2F2010&site=on&site_10047=on&gridtype=on&gridtype_1=on&service=on&service_117=on&service_112=on&service_118=on&service_105=on&service_116=on&service_104=on&service_106=on&service_111=on&voown=on&voown_25=on&active=on&active_value=1&disable_value=1| October 28, 2010 | Scott Teige | High level view of the status of GOC services |
| Critical Resources | http://tinyurl.com/4trnpm6 | April 30, 2010 | GOC Support Team | Shows all resources failing a critical metric |
| All Resource Groups | http://myosg.grid.iu.edu/rgcurrentstatus/index?datasource=currentstatus&summary_attrs_showservice=on&summary_attrs_showrsvstatus=on&summary_attrs_showfqdn=on&current_status_attrs_shownc=on&gip_status_attrs_showtestresults=on&downtime_attrs_showpast=&account_type=cumulative_hours&ce_account_type=gip_vo&se_account_type=vo_transfer_volume&start_type=7daysago&start_date=04%2F08%2F2009&end_type=now&end_date=04%2F15%2F2009&all_resources=on&gridtype=on&gridtype_1=on&service_1=on&service_5=on&service_2=on&service_3=on&service_central_value=0&service_hidden_value=0&active=on&active_value=1&disable_value=1 | January 27, 2010 | Kyle Gross | List of All Resource Groups |
| ATLAS Tier Twos | http://tinyurl.com/b4dlg82 | February 6, 2013 | Derek Weitzel | List of Production ATLAS Tier 2 Resources |
| CMS Tier Twos | http://tinyurl.com/yza9vxb | August 13, 2009 | Rob Quick | List of Production CMS Tier2 Resources |
| US CMS Tier-3s | http://myosg.grid.iu.edu/rgsummary/index?datasource=summary&gip_status_attrs_showtestresults=on&downtime_attrs_showpast=&account_type=cumulative_hours&ce_account_type=gip_vo&se_account_type=vo_transfer_volume&bdiitree_type=total_jobs&start_type=7daysago&start_date=03%2F20%2F2009&end_type=now&end_date=03%2F27%2F2009&rg_10=on&rg_24=on&rg_42=on&rg_66=on&rg_71=on&rg_96=on&rg_94=on&rg_99=on&rg_113=on&rg_120=on&rg_122=on&sc=on&sc_46=on&gridtype=on&gridtype_1=on&service_1=on&service_5=on&service_2=on&service_3=on&service_central_value=0&service_hidden_value=0&active=on&active_value=1&disable_value=1 | October 5th 2010  | Ruth Pordes  | selected with US CMS Tier-3 as the support center |
| US ATLAS Tier-3s (as we know them) | https://myosg.grid.iu.edu/rgsummary/index?datasource=summary&gip_status_attrs_showtestresults=on&downtime_attrs_showpast=&account_type=cumulative_hours&ce_account_type=gip_vo&se_account_type=vo_transfer_volume&bdiitree_type=total_jobs&start_type=7daysago&start_date=10%2F05%2F2010&end_type=now&end_date=10%2F05%2F2010&facility_10009=on&rg=on&rg_277=on&rg_213=on&rg_25=on&rg_274=on&rg_147=on&rg_98=on&rg_242=on&rg_267=on&rg_215=on&gridtype=on&gridtype_1=on&service_1=on&service_5=on&service_2=on&service_3=on&service_central_value=0&service_hidden_value=0&active=on&active_value=1&disable_value=1 | October 5th 2010 | Ruth Pordes | Sites that are known to be ATLAS Tier-3s |
| Gratia Probes | https://myosg.grid.iu.edu/rgcurrentstatus/index?summary_attrs_showgipstatus=on&summary_attrs_showwlcg=on&summary_attrs_showservice=on&summary_attrs_showrsvstatus=on&summary_attrs_showfqdn=on&summary_attrs_showcontact=on&current_status_attrs_spe=on&current_status_attrs_spe_55=on&current_status_attrs_spe_44=on&current_status_attrs_spe_45=on&current_status_attrs_spe_46=on&current_status_attrs_spe_56=on&current_status_attrs_spe_47=on&current_status_attrs_spe_48=on&gip_status_attrs_showtestresults=on&downtime_attrs_showpast=&account_type=cumulative_hours&ce_account_type=gip_vo&se_account_type=vo_transfer_volume&bdiitree_type=total_jobs&bdii_object=service&bdii_server=is-osg&start_type=7daysago&start_date=01%2F15%2F2014&end_type=now&end_date=01%2F15%2F2014&all_resources=on&gridtype=on&gridtype_1=on&service_1=on&service_5=on&service_2=on&service_3=on&active=on&active_value=1&disable_value=1&has_wlcg=on | January 15th 2014 | Kyle Gross | Gratia Successes |
%RED%

This table is parsed by !MyOSG. Please leave the format intact! Also, MyOSG reloads this content at the top of each hour.
