%META:TOPICINFO{author="TanyaLevshina" date="1268686609" format="1.1" reprev="1.18" version="1.18"}%
%META:TOPICPARENT{name="WebHome"}%
---++ Software Testing Table

This table is used for recording the testing we are doing of software *before* it is released to the VTB/ITB.

| *Date* | *Component* | *Version* | *Cache* | *Tester* | *Status* | *Notes* |
| 2009-03-09 | Xrootd | 20100303-1613 w/ !XrootdFS 3.0rc4 | http://vdt.cs.wisc.edu/vdt_2089_cache:Xrootd | Tanya | | |
| 2009-03-09 | Xrootd | 20100303-1613 w/ !XrootdFS 3.0rc4 | http://vdt.cs.wisc.edu/vdt_2089_cache:XrootdFS | Tanya | | |
| 2009-03-09 | Xrootd | 20100303-1613 w/ !XrootdFS 3.0rc4 | http://vdt.cs.wisc.edu/vdt_2089_cache:Xrootd-GridFTP | Tanya | | |
| 2009-03-02 | OSG-Discovery | 1.0.1 | http://vdt.cs.wisc.edu/vdt_2089_cache:OSG-Discovery | Tanya |OK (with some issues)  - tested 3/15/2010 |  get_storage_element_id lists all the "classic" SEs -confusing.<br/> Looks get_surl like +adds top level path to the output.It lists multiple paths for surl engage vo (i didn't see this information in bdii) <br/>get_surl --vo engage --storage_element_id  bsrm-1.t2.ucsd.edu<br/> srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop//TESTFILE srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/engage/TESTFILE |
| 2009-02-25 | Bestman | 2.2.1.3.10 | http://vdt.cs.wisc.edu/vdt_2089_cache:Bestman | Tanya | | |
| 2009-01-29 | !OpenLDAP | 2.4.19 | http://vdt.cs.wisc.edu/vdt_2089_cache:LCG-Utils | Tanya | OK - tested on 2/3/2010 | |
| 2009-12-08 | Xrootd | 20091028-1003 w/ !XrootdFS 3.0rc3 | http://vdt.cs.wisc.edu/vdt_2089_cache:Xrootd | Tanya | OK | |
| 2009-12-08 | !XrootdFS | 3.0rc3 | http://vdt.cs.wisc.edu/vdt_2089_cache:XrootdFS | Tanya | OK | |
| 2009-12-04 | OSG-Discovery | 0.9.1 | http://vdt.cs.wisc.edu/vdt_2089_cache:OSG-Discovery | Tanya | OK (with some issues) | |
| 2009-12-04 | Quaestio | 0.9.0 | http://vdt.cs.wisc.edu/test-cache/scot:Quaestio | Tanya | FAIL | |
| 2009-12-03 | SRM-Client-Fermi | 1.9.5-3 | http://vdt.cs.wisc.edu/vdt_2089_cache:SRM-Client-Fermi | Tanya | OK |  |
| 2009-12-03 | Xrootd | 20091028-1003 | http://vdt.cs.wisc.edu/test-cache/scot:Xrootd | Tanya | OK | |
| 2009-12-03 | !XrootdFS | 3.0rc1 | http://vdt.cs.wisc.edu/test-cache/scot:XrootdFS | Tanya | OK | |
