%META:TOPICINFO{author="RobertEngel" date="1312301008" format="1.1" version="1.322"}%
%META:TOPICPARENT{name="WebHome"}%
---+!! Updating the OSG WBS
%INCLUDE{ "WbsStatusUpdateProcess" }%

%EDITTABLE{ format="| label, 0 | label, 0 |  label, 0  | label, 0 | label, 0 |   text, 8 |   text, 8 |   text, 4, 0% |  label, 0  | textarea, 2x20 |"  changerows="off" headerislabel="on" editbutton="Edit Table" header"| *ID* | *WBS* | *Agency Milestone* | *Name* | *In Charge* | *Start Date* | *Finish Date* | *% Done* | *Edit Line* | *Comments* |" helptopic="WbsStatusUpdateProcess" }% 
%TABLE{ valign="top" dataalign="left, left, center, left, left, center, center, right, center, center" }%
| *ID* | *WBS* | *Agency Milestone* | *Name* | *In Charge* | *Start Date* | *Finish Date* | *% Done* | *Edit Line* | *Comments* |
| 0 | 0 | No | Year5 OSG Work Program | Pordes | 8/2/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 56% %EDITCELL{ "label, 0" }% | | |
| 1 | 1 | No | OSG Year5 Work Program | Pordes | 8/2/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 56% %EDITCELL{ "label, 0" }% | | |
| 2 | 1.0.1 | No | Software Tools Group | Roy, Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 62% %EDITCELL{ "label, 0" }% | | |
| 3 | 1.0.1.1 | No | Continue overseeing OSG-owned software | Roy, Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 4 | 1.0.1.1.1 | No | RSV development | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 5 | 1.0.1.1.2 | No | OIM development | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 6 | 1.0.1.1.3 | No | OSG VO Map development | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 7 | 1.0.1.1.4 | No | OSG Discovery tool | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 8 | 1.0.1.1.5 | No | vdt-ca-manage | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 9 | 1.0.1.1.6 | No | PPDG Cert Scripts | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 10 | 1.0.1.1.7 | No | VDT packaging and configuration scripts (including configure-osg) | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 11 | 1.0.1.2 | No | Continue interaction with OSG-catalyzed software | Roy, Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 12 | 1.0.1.2.1 | No | GUMS | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 13 | 1.0.1.2.2 | No | Bestman | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 14 | 1.0.1.2.3 | No | Gratia | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 15 | 1.0.1.2.4 | No | GIP | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 16 | 1.0.1.2.5 | No | OSG Matchmaker | Roy, Altunay | 10/1/10 | 9/30/11 | 75%83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
