Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
12-Jul,128,104,81.2,10,7.8,4,3.1,7,5.5,3,2.3
12-Aug,167,119,71.3,22,13.2,12,7.2,12,7.2,2,1.2
12-Sep,129,110,85.3,9,7,6,4.7,4,3.1,0,0
12-Oct,186,153,82.3,18,9.7,9,4.8,3,1.6,3,1.6
12-Nov,152,120,78.9,13,8.6,8,5.3,9,5.9,2,1.3
12-Dec,187,149,79.7,23,12.3,4,2.1,9,4.8,2,1.1
13-Jan,275,242,88,22,8,7,2.5,0,0,4,1.5
13-Feb,438,391,89.3,28,6.4,12,2.7,0,0,7,1.6
13-Mar,443,409,92.3,20,4.5,0,0,0,0,14,3.2
13-Apr,536,448,83.6,0,0,0,0,0,0,88,16.4
TOTALS,2641,2245,85,165,6.2,62,2.3,44,1.7,125,4.7
