# ----------------------------------------
# twiki profile
# Pages
# 20140401-20140430
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/bin/view/Operations/VOPackageReleases,"1,633","1,551",00:02:17,"1,544",92.75%,92.22%,$0.00
/bin/view/Education/OSGUserSchool2014,546,431,00:02:58,406,61.58%,57.33%,$0.00
/bin/view/Security/VOPackageProject,432,418,00:04:45,416,95.91%,95.14%,$0.00
/bin/view/Documentation/RemovalProcedure,248,230,00:03:12,222,94.59%,91.94%,$0.00
/bin/view/Storage/HadoopInstallation,223,203,00:02:21,195,80.51%,78.48%,$0.00
/bin/view/Storage/HadoopRecovery,204,194,00:04:15,184,84.78%,84.31%,$0.00
/bin/view/Documentation/Release3/,198,116,00:01:02,97,24.74%,16.16%,$0.00
/bin/view,187,167,00:01:24,156,55.13%,54.01%,$0.00
/bin/view/Documentation/Release3/InstallCvmfs,173,148,00:04:23,131,74.81%,68.79%,$0.00
/bin/view/Council/April-2014,166,119,00:02:24,108,65.74%,56.63%,$0.00
/bin/view/Documentation/Release3/WebHome,166,136,00:00:51,31,25.81%,15.66%,$0.00
/bin/view/Documentation/CertificateGetWeb,165,140,00:02:58,122,78.69%,73.33%,$0.00
/bin/view/CampusGrids/UsingKVM,149,142,00:04:27,142,94.37%,94.63%,$0.00
/bin/view/Education/UserSchool13Materials,142,74,00:03:39,51,52.94%,35.21%,$0.00
/bin/view/Operations/WebHome,138,109,00:00:56,89,37.08%,35.51%,$0.00
/bin/view/Security/HashAlgorithms,129,123,00:06:45,122,93.44%,93.80%,$0.00
/bin/view/Documentation/Release3/YumRepositories,128,115,00:02:10,91,78.02%,67.97%,$0.00
/bin/view/Storage/HadoopOperations,128,120,00:05:50,102,88.24%,86.72%,$0.00
/bin/view/Documentation/Release3/InstallCondor,126,117,00:04:52,110,80.00%,80.95%,$0.00
/bin/view/Documentation/Release3/InstallComputeElement,125,109,00:04:39,54,74.07%,58.40%,$0.00
/bin/view/Education/UserSchool14Curriculum,123,106,00:02:08,12,41.67%,60.16%,$0.00
/bin/view/Documentation/Release3/InstallXrootd,114,99,00:08:54,79,86.08%,78.07%,$0.00
/bin/view/SoftwareTeam/KojiWorkflow,112,87,00:10:36,86,77.91%,75.00%,$0.00
/bin/view/Documentation/Release3/YumRpmBasics,111,104,00:05:05,87,91.95%,78.38%,$0.00
/bin/view/Accounting/WebHome,106,86,00:01:29,81,70.37%,73.58%,$0.00
/bin/view/Operations/HTCChallengeRules,106,70,00:03:14,60,58.33%,47.17%,$0.00
/bin/view/Documentation/Release3/InstallHTCondorCE,105,79,00:05:50,37,59.46%,44.76%,$0.00
/bin/view/Main/WebHome,104,70,00:01:04,27,62.96%,28.85%,$0.00
/bin/view/Documentation/Release3/InstallCertAuth,96,74,00:04:53,55,87.27%,60.42%,$0.00
