Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jun15,405,207,51.1,100,24.7,36,8.9,18,4.4,43,10.6,1,0.2
Jul15,317,140,44.2,86,27.1,30,9.5,15,4.7,45,14.2,1,0.3
Aug15,280,130,46.4,78,27.9,26,9.3,9,3.2,36,12.9,1,0.4
Sept15,286,142,49.7,73,25.5,21,7.3,23,8.0,25,8.7,2,0.7
Oct15,338,181,53.6,69,20.4,34,10.1,15,4.4,39,11.5,0,0
Nov15,351,187,53.3,89,25.4,30,8.5,10,2.8,34,9.7,1,0.3
Dec15,423,272,64.3,100,23.6,6,1.4,11,2.6,34,8.0,0,0
Jan16,317,183,57.7,67,21.1,19,6.0,13,4.1,31,9.8,4,1.3
Feb16,322,194,60.2,61,18.9,16,5.0,15,4.7,26,8.1,10,3.1
Mar16,477,300,62.9,75,15.7,32,6.7,14,2.9,24,5.0,32,6.7
TOTALS,3516,1936,55.1,798,22.7,250,7.1,143,4.1,337,9.6,52,1.5

