Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jul10,178,163,91.6,9,5.1,3,1.7,2,1.1,1,0.6
Aug10,159,140,88.1,9,5.7,4,2.5,6,3.8,0,0
Sept10,145,121,83.4,15,10.3,5,3.4,3,2.1,1,0.7
Oct10,156,136,87.2,14,9.0,1,0.6,4,2.6,1,0.6
Nov10,179,147,82.1,16,8.9,10,5.6,4,2.2,2,1.1
Dec10,114,89,78.1,14,12.3,7,6.1,2,1.8,2,1.8
Jan11,129,114,88.4,11,8.5,1,0.8,2,1.6,1,0.8
Feb11,138,111,80.4,14,10.1,6,4.3,0,0,7,5.1
Mar11,155,133,85.8,5,3.2,0,0,0,0,17,11.0
Apr11,141,94,66.7,0,0,0,0,0,0,47,33.3
TOTALS,1494,1248,83.5,107,7.2,37,2.5,23,1.5,79,5.3

