Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Nov10,179,147,82.1,16,8.9,10,5.6,4,2.2,2,1.1
Dec10,114,89,78.1,14,12.3,7,6.1,3,2.6,1,0.9
Jan11,129,114,88.4,11,8.5,1,0.8,3,2.3,0,0
Feb11,138,110,79.7,14,10.1,7,5.1,4,2.9,3,2.2
Mar11,155,133,85.8,10,6.5,8,5.2,0,0,4,2.6
Apr11,141,125,88.7,12,8.5,2,1.4,0,0,2,1.4
May11,177,152,85.9,16,9.0,4,2.3,1,0.6,4,2.3
Jun11,135,112,83.0,13,9.6,1,0.7,0,0,9,6.7
Jul11,117,98,83.8,7,6.0,0,0,0,0,12,10.3
Aug11,192,136,70.8,2,1.0,0,0,0,0,54,28.1
TOTALS,1477,1216,82.3,115,7.8,40,2.7,15,1.0,91,6.2

