Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
12-Nov,15,14,93.3,1,6.7,0,0,0,0,0,0
12-Dec,187,149,79.7,23,12.3,4,2.1,11,5.9,0,0
13-Jan,275,242,88,22,8,7,2.5,3,1.1,1,0.4
13-Feb,438,389,88.8,28,6.4,14,3.2,6,1.4,1,0.2
13-Mar,443,407,91.9,20,4.5,3,0.7,11,2.5,2,0.5
13-Apr,536,476,88.8,31,5.8,13,2.4,3,0.6,13,2.4
13-May,416,382,91.8,25,6,6,1.4,3,0.7,0,0
13-Jun,403,374,92.8,18,4.5,4,1,0,0,7,1.7
13-Jul,482,450,93.4,9,1.9,2,0.4,0,0,21,4.4
13-Aug,605,567,93.7,2,0.3,0,0,0,0,36,6
TOTALS,3800,3450,90.8,179,4.7,53,1.4,37,1,81,2.1
