,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Nov'14,2,3,1,1,25,27,310,326,338,357
Dec'14,2,2,2,2,24,20,254,361,282,385
Jan'15,2,1,1,1,17,17,251,277,271,296
Feb'15,4,3,0,0,29,30,377,488,410,521
Mar'15,1,1,7,2,31,20,424,434,463,457
Apr'15,2,2,0,2,27,24,382,418,411,446
May'15,2,4,4,8,19,29,429,506,454,547
Jun'15,2,2,4,2,19,22,380,431,405,457
Jul'15,1,1,1,3,24,30,291,754,317,788
Aug'15,0,0,1,1,26,26,249,387,276,414
TOTALS,18,19,21,22,241,245,3347,4382,3627,4668
