Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
11-Mar,155,133,85.8,10,6.5,8,5.2,2,1.3,2,1.3
11-Apr,141,125,88.7,12,8.5,2,1.4,1,0.7,1,0.7
11-May,177,152,85.9,16,9,4,2.3,4,2.3,1,0.6
11-Jun,135,112,83,13,9.6,2,1.5,4,3,4,3
11-Jul,117,98,83.8,7,6,5,4.3,3,2.6,4,3.4
11-Aug,192,160,83.3,19,9.9,6,3.1,1,0.5,6,3.1
11-Sep,129,110,85.3,12,9.3,4,3.1,2,1.6,1,0.8
11-Oct,128,104,81.2,11,8.6,3,2.3,0,0,10,7.8
11-Nov,109,100,91.7,4,3.7,0,0,0,0,5,4.6
11-Dec,108,78,72.2,0,0,0,0,0,0,30,27.8
TOTALS,1391,1172,84.3,104,7.5,34,2.4,17,1.2,64,4.6
