Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Mar12,161,141,87.6,11,6.8,2,1.2,7,4.3,0,0
Apr12,161,141,87.6,10,6.2,4,2.5,6,3.7,0,0
May12,106,88,83.0,12,11.3,4,3.8,1,0.9,1,0.9
Jun12,152,136,89.5,10,6.6,3,2.0,3,2.0,0,0
Jul12,128,104,81.2,10,7.8,4,3.1,6,4.7,4,3.1
Aug12,167,121,72.5,22,13.2,12,7.2,7,4.2,5,3.0
Sept12,129,110,85.3,9,7.0,6,4.7,2,1.6,2,1.6
Oct12,186,153,82.3,18,9.7,9,4.8,2,1.1,4,2.2
Nov12,152,120,78.9,13,8.6,8,5.3,0,0,11,7.2
Dec12,187,149,79.7,17,9.1,0,0,0,0,21,11.2
TOTALS,1529,1263,82.6,132,8.6,52,3.4,34,2.2,48,3.1

