Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Mar14,545,306,56.1,114,20.9,42,7.7,14,2.6,69,12.7,0,0
Apr14,585,335,57.3,132,22.6,53,9.1,17,2.9,48,8.2,0,0
May14,329,149,45.3,100,30.4,31,9.4,22,6.7,26,7.9,1,0.3
Jun14,325,149,45.8,92,28.3,22,6.8,14,4.3,47,14.5,1,0.3
Jul14,365,157,43.0,85,23.3,51,14.0,31,8.5,41,11.2,0,0
Aug14,288,150,52.1,78,27.1,22,7.6,9,3.1,26,9.0,3,1.0
Sept14,282,138,48.9,78,27.7,20,7.1,17,6.0,27,9.6,2,0.7
Oct14,469,262,55.9,120,25.6,29,6.2,24,5.1,29,6.2,5,1.1
Nov14,338,194,57.4,77,22.8,21,6.2,10,3.0,25,7.4,11,3.3
Dec14,282,148,52.5,77,27.3,9,3.2,14,5.0,13,4.6,21,7.4
TOTALS,3808,1988,52.2,953,25.0,300,7.9,172,4.5,351,9.2,44,1.2

