Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
May13,416,378,90.9,25,6.0,6,1.4,7,1.7,0,0
Jun13,403,373,92.6,18,4.5,7,1.7,5,1.2,0,0
Jul13,482,449,93.2,14,2.9,10,2.1,9,1.9,0,0
Aug13,605,577,95.4,15,2.5,6,1.0,6,1.0,1,0.2
Sept13,369,346,93.8,19,5.1,0,0,4,1.1,0,0
Oct13,418,400,95.7,10,2.4,3,0.7,4,1.0,1,0.2
Nov13,436,418,95.9,2,0.5,4,0.9,8,1.8,4,0.9
Dec13,436,402,92.2,23,5.3,10,2.3,0,0,1,0.2
Jan14,877,846,96.5,13,1.5,0,0,0,0,18,2.1
Feb14,423,381,90.1,2,0.5,0,0,0,0,40,9.5
TOTALS,4865,4570,93.9,141,2.9,46,0.9,43,0.9,65,1.3

