,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
May'14,2,1,2,2,33,38,292,434,329,475
Jun'14,0,1,2,1,23,21,300,316,325,339
Jul'14,3,3,19,15,30,26,313,509,365,553
Aug'14,0,0,4,8,27,33,257,387,288,428
Sept'14,1,0,8,5,21,19,252,285,282,309
Oct'14,2,2,2,4,44,38,421,529,469,573
Nov'14,2,3,1,1,25,27,310,328,338,359
Dec'14,2,2,2,2,24,20,254,366,282,390
Jan'15,2,1,1,1,17,17,251,277,271,296
Feb'15,4,4,0,0,29,31,377,492,410,527
TOTALS,18,17,41,39,273,270,3027,3923,3359,4249
