,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
May'10,3,1,7,5,11,6,113,29,134,41
Jun'10,2,2,8,3,15,9,159,63,184,77
Jul'10,6,4,12,9,20,9,140,46,178,68
Aug'10,4,6,13,15,18,31,124,192,159,244
Sept'10,2,2,6,9,21,18,116,104,145,133
Oct'10,2,2,9,9,24,24,121,113,156,148
Nov'10,0,0,13,12,10,16,156,157,179,185
Dec'10,2,2,5,2,11,9,96,95,114,108
Jan'11,2,2,1,3,35,25,91,105,129,135
Feb'11,2,1,7,6,23,23,106,108,138,138
TOTALS,25,22,81,73,188,170,1222,1012,1516,1277
