Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
May10,134,116,86.6,10,7.5,6,4.5,2,1.5,0,0
Jun10,184,163,88.6,18,9.8,0,0,3,1.6,0,0
Jul10,178,163,91.6,9,5.1,3,1.7,1,0.6,2,1.1
Aug10,159,140,88.1,9,5.7,4,2.5,5,3.1,1,0.6
Sept10,145,121,83.4,15,10.3,5,3.4,2,1.4,2,1.4
Oct10,156,136,87.2,14,9.0,1,0.6,4,2.6,1,0.6
Nov10,179,147,82.1,16,8.9,10,5.6,3,1.7,3,1.7
Dec10,114,89,78.1,14,12.3,5,4.4,0,0,6,5.3
Jan11,129,114,88.4,6,4.7,0,0,0,0,9,7.0
Feb11,138,89,64.5,0,0,0,0,0,0,49,35.5
TOTALS,1516,1278,84.3,111,7.3,34,2.2,20,1.3,73,4.8

