Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Apr11,141,125,88.7,12,8.5,2,1.4,2,1.4,0,0
May11,177,152,85.9,16,9.0,4,2.3,5,2.8,0,0
Jun11,135,112,83.0,13,9.6,2,1.5,8,5.9,0,0
Jul11,117,98,83.8,7,6.0,5,4.3,5,4.3,2,1.7
Aug11,192,160,83.3,19,9.9,6,3.1,5,2.6,2,1.0
Sept11,129,110,85.3,12,9.3,4,3.1,3,2.3,0,0
Oct11,128,104,81.2,11,8.6,6,4.7,2,1.6,5,3.9
Nov11,109,100,91.7,8,7.3,0,0,0,0,1,0.9
Dec11,108,92,85.2,3,2.8,0,0,0,0,13,12.0
Jan12,136,89,65.4,0,0,0,0,0,0,47,34.6
TOTALS,1372,1142,83.2,101,7.4,29,2.1,30,2.2,70,5.1

