,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Apr'14,2,2,1,1,21,21,561,745,585,769
May'14,2,1,2,2,33,38,292,435,329,476
Jun'14,0,1,2,1,23,21,300,316,325,339
Jul'14,3,3,19,15,30,26,313,510,365,554
Aug'14,0,0,4,8,27,33,257,388,288,429
Sept'14,1,0,8,5,21,19,252,285,282,309
Oct'14,2,2,2,4,44,38,421,529,469,573
Nov'14,2,3,1,1,25,27,310,330,338,361
Dec'14,2,2,2,2,24,20,254,367,282,391
Jan'15,2,2,1,1,17,19,251,277,271,299
TOTALS,16,16,42,40,265,262,3211,4182,3534,4500
