Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Apr10,187,172,92.0,10,5.3,1,0.5,4,2.1,0,0
May10,134,116,86.6,10,7.5,6,4.5,2,1.5,0,0
Jun10,184,163,88.6,18,9.8,0,0,1,0.5,2,1.1
Jul10,178,163,91.6,9,5.1,3,1.7,1,0.6,2,1.1
Aug10,159,140,88.1,9,5.7,4,2.5,3,1.9,3,1.9
Sept10,145,121,83.4,15,10.3,5,3.4,2,1.4,2,1.4
Oct10,156,136,87.2,14,9.0,1,0.6,1,0.6,4,2.6
Nov10,179,147,82.1,16,8.9,8,4.5,0,0,8,4.5
Dec10,114,89,78.1,11,9.6,0,0,0,0,14,12.3
Jan11,129,102,79.1,0,0,0,0,0,0,27,20.9
TOTALS,1565,1349,86.2,112,7.2,28,1.8,14,0.9,62,4.0

