,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Oct'10,2,2,9,9,24,24,121,113,156,148
Nov'10,0,0,13,12,10,16,156,157,179,185
Dec'10,2,2,5,2,11,9,96,95,114,108
Jan'11,2,2,1,3,35,25,91,105,129,135
Feb'11,2,1,6,6,24,23,106,107,138,137
Mar'11,2,2,5,4,17,16,131,120,155,142
Apr'11,1,1,6,5,8,14,126,111,141,131
May'11,2,2,6,7,11,9,158,168,177,186
Jun'11,0,0,4,3,10,15,121,126,135,144
Jul'11,2,2,5,5,7,7,103,112,117,126
TOTALS,15,14,60,56,157,158,1209,1214,1441,1442
