Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Oct10,156,136,87.2,14,9.0,1,0.6,5,3.2,0,0
Nov10,179,147,82.1,16,8.9,10,5.6,4,2.2,2,1.1
Dec10,114,89,78.1,14,12.3,7,6.1,3,2.6,1,0.9
Jan11,129,114,88.4,11,8.5,1,0.8,3,2.3,0,0
Feb11,138,111,80.4,14,10.1,7,5.1,2,1.4,4,2.9
Mar11,155,133,85.8,10,6.5,8,5.2,0,0,4,2.6
Apr11,141,125,88.7,12,8.5,2,1.4,0,0,2,1.4
May11,177,152,85.9,16,9.0,3,1.7,0,0,6,3.4
Jun11,135,112,83.0,10,7.4,0,0,0,0,13,9.6
Jul11,117,79,67.5,0,0,0,0,0,0,38,32.5
TOTALS,1441,1198,83.1,117,8.1,39,2.7,17,1.2,70,4.9

