Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
11-Oct,128,104,81.2,11,8.6,6,4.7,7,5.5,0,0
11-Nov,109,100,91.7,8,7.3,0,0,1,0.9,0,0
11-Dec,108,92,85.2,8,7.4,7,6.5,1,0.9,0,0
12-Jan,136,113,83.1,16,11.8,3,2.2,3,2.2,1,0.7
12-Feb,191,156,81.7,18,9.4,3,1.6,9,4.7,5,2.6
12-Mar,161,141,87.6,11,6.8,2,1.2,3,1.9,4,2.5
12-Apr,161,141,87.6,10,6.2,4,2.5,2,1.2,4,2.5
12-May,106,88,83,12,11.3,2,1.9,0,0,4,3.8
12-Jun,152,136,89.5,9,5.9,0,0,0,0,7,4.6
12-Jul,128,89,69.5,0,0,0,0,0,0,39,30.5
TOTALS,1380,1160,84.1,103,7.5,27,2,26,1.9,64,4.6
