Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Oct14,469,261,55.7,118,25.2,28,6.0,24,5.1,38,8.1,0,0
Nov14,338,194,57.4,76,22.5,20,5.9,10,3.0,38,11.2,0,0
Dec14,282,148,52.5,76,27.0,9,3.2,14,5.0,35,12.4,0,0
Jan15,271,135,49.8,69,25.5,15,5.5,15,5.5,36,13.3,1,0.4
Feb15,410,264,64.4,71,17.3,22,5.4,7,1.7,46,11.2,0,0
Mar15,463,234,50.5,111,24.0,30,6.5,27,5.8,60,13.0,1,0.2
Apr15,411,222,54.0,92,22.4,33,8.0,19,4.6,45,10.9,0,0
May15,454,289,63.7,76,16.7,27,5.9,18,4.0,41,9.0,3,0.7
Jun15,405,208,51.4,101,24.9,37,9.1,18,4.4,35,8.6,6,1.5
Jul15,317,140,44.2,86,27.1,19,6.0,6,1.9,2,0.6,64,20.2
TOTALS,3820,2095,54.8,876,22.9,240,6.3,158,4.1,376,9.8,75,2.0

