Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
10-Sep,145,121,83.4,15,10.3,5,3.4,3,2.1,1,0.7
10-Oct,156,136,87.2,14,9,1,0.6,5,3.2,0,0
10-Nov,179,147,82.1,16,8.9,10,5.6,4,2.2,2,1.1
10-Dec,114,89,78.1,14,12.3,7,6.1,3,2.6,1,0.9
11-Jan,129,114,88.4,11,8.5,1,0.8,2,1.6,1,0.8
11-Feb,138,111,80.4,14,10.1,7,5.1,1,0.7,5,3.6
11-Mar,155,133,85.8,10,6.5,8,5.2,0,0,4,2.6
11-Apr,141,125,88.7,12,8.5,2,1.4,0,0,2,1.4
11-May,177,152,85.9,9,5.1,0,0,0,0,16,9
11-Jun,135,87,64.4,0,0,0,0,0,0,48,35.6
TOTALS,1469,1215,82.7,115,7.8,41,2.8,18,1.2,80,5.4
