Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Sept12,129,109,84.5,9,7.0,6,4.7,5,3.9,0,0
Oct12,186,153,82.3,18,9.7,9,4.8,4,2.2,2,1.1
Nov12,152,120,78.9,13,8.6,8,5.3,9,5.9,2,1.3
Dec12,187,149,79.7,23,12.3,4,2.1,10,5.3,1,0.5
Jan13,275,242,88.0,22,8.0,7,2.5,1,0.4,3,1.1
Feb13,438,391,89.3,28,6.4,14,3.2,1,0.2,4,0.9
Mar13,443,408,92.1,20,4.5,3,0.7,3,0.7,9,2.0
Apr13,536,476,88.8,31,5.8,8,1.5,0,0,21,3.9
May13,416,382,91.8,23,5.5,0,0,0,0,11,2.6
Jun13,403,352,87.3,1,0.2,0,0,0,0,50,12.4
TOTALS,3165,2782,87.9,188,5.9,59,1.9,33,1.0,103,3.3

