Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Sept14,282,138,48.9,78,27.7,20,7.1,17,6.0,29,10.3,0,0
Oct14,469,262,55.9,119,25.4,29,6.2,24,5.1,35,7.5,0,0
Nov14,338,194,57.4,76,22.5,20,5.9,10,3.0,38,11.2,0,0
Dec14,282,148,52.5,76,27.0,9,3.2,14,5.0,34,12.1,1,0.4
Jan15,271,135,49.8,69,25.5,15,5.5,15,5.5,36,13.3,1,0.4
Feb15,410,264,64.4,71,17.3,22,5.4,7,1.7,46,11.2,0,0
Mar15,463,234,50.5,111,24.0,30,6.5,27,5.8,59,12.7,2,0.4
Apr15,411,222,54.0,92,22.4,33,8.0,19,4.6,44,10.7,1,0.2
May15,454,289,63.7,76,16.7,27,5.9,18,4.0,41,9.0,3,0.7
Jun15,405,208,51.4,102,25.2,34,8.4,12,3.0,15,3.7,34,8.4
TOTALS,3785,2094,55.3,870,23.0,239,6.3,163,4.3,377,10.0,42,1.1

