Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jun12,152,136,89.5,10,6.6,3,2.0,3,2.0,0,0
Jul12,128,104,81.2,10,7.8,4,3.1,7,5.5,3,2.3
Aug12,167,121,72.5,22,13.2,12,7.2,7,4.2,5,3.0
Sept12,129,110,85.3,9,7.0,6,4.7,3,2.3,1,0.8
Oct12,186,153,82.3,18,9.7,9,4.8,2,1.1,4,2.2
Nov12,152,120,78.9,13,8.6,8,5.3,7,4.6,4,2.6
Dec12,187,149,79.7,23,12.3,4,2.1,5,2.7,6,3.2
Jan13,275,242,88.0,22,8.0,3,1.1,0,0,8,2.9
Feb13,438,393,89.7,16,3.7,0,0,0,0,29,6.6
Mar13,443,348,78.6,0,0,0,0,0,0,95,21.4
TOTALS,2257,1876,83.1,143,6.3,49,2.2,34,1.5,155,6.9

