,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jun'14,0,1,2,1,23,21,300,316,325,339
Jul'14,3,3,19,15,30,26,313,508,365,552
Aug'14,0,0,4,8,27,33,257,383,288,424
Sept'14,1,0,8,5,21,19,252,285,282,309
Oct'14,2,2,2,4,44,38,421,529,469,573
Nov'14,2,3,1,1,25,27,310,328,338,359
Dec'14,2,2,2,2,24,20,254,365,282,389
Jan'15,2,1,1,1,17,17,251,277,271,296
Feb'15,4,3,0,0,29,30,377,492,410,525
Mar'15,1,1,7,2,31,20,424,437,463,460
TOTALS,17,16,46,39,271,251,3159,3920,3493,4226
