Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jun14,325,149,45.8,92,28.3,22,6.8,14,4.3,48,14.8,0,0
Jul14,365,157,43.0,82,22.5,51,14.0,31,8.5,41,11.2,3,0.8
Aug14,288,150,52.1,78,27.1,22,7.6,9,3.1,27,9.4,2,0.7
Sept14,282,138,48.9,78,27.7,20,7.1,17,6.0,27,9.6,2,0.7
Oct14,469,262,55.9,120,25.6,29,6.2,24,5.1,34,7.2,0,0
Nov14,338,194,57.4,76,22.5,21,6.2,10,3.0,34,10.1,3,0.9
Dec14,282,148,52.5,76,27.0,9,3.2,14,5.0,33,11.7,2,0.7
Jan15,271,135,49.8,69,25.5,15,5.5,15,5.5,28,10.3,9,3.3
Feb15,410,264,64.4,71,17.3,22,5.4,7,1.7,20,4.9,26,6.3
Mar15,463,234,50.5,111,24.0,30,6.5,22,4.8,17,3.7,49,10.6
TOTALS,3493,1831,52.4,853,24.4,241,6.9,163,4.7,309,8.8,96,2.7

