Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
10-Jun,184,163,88.6,18,9.8,0,0,3,1.6,0,0
10-Jul,178,163,91.6,9,5.1,3,1.7,2,1.1,1,0.6
10-Aug,159,140,88.1,9,5.7,4,2.5,6,3.8,0,0
10-Sep,145,121,83.4,15,10.3,5,3.4,3,2.1,1,0.7
10-Oct,156,136,87.2,14,9,1,0.6,4,2.6,1,0.6
10-Nov,179,147,82.1,16,8.9,10,5.6,4,2.2,2,1.1
10-Dec,114,89,78.1,14,12.3,7,6.1,0,0,4,3.5
11-Jan,129,114,88.4,11,8.5,1,0.8,0,0,3,2.3
11-Feb,138,112,81.2,11,8,0,0,0,0,15,10.9
11-Mar,155,103,66.5,0,0,0,0,0,0,52,33.5
TOTALS,1537,1288,83.8,117,7.6,31,2,22,1.4,79,5.1
