Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
12-Aug,167,119,71.3,22,13.2,12,7.2,12,7.2,2,1.2
12-Sep,129,109,84.5,9,7,6,4.7,5,3.9,0,0
12-Oct,186,153,82.3,18,9.7,9,4.8,4,2.2,2,1.1
12-Nov,152,120,78.9,13,8.6,8,5.3,9,5.9,2,1.3
12-Dec,187,149,79.7,23,12.3,4,2.1,10,5.3,1,0.5
13-Jan,275,242,88,22,8,7,2.5,1,0.4,3,1.1
13-Feb,438,391,89.3,28,6.4,14,3.2,0,0,5,1.1
13-Mar,443,409,92.3,21,4.7,2,0.5,0,0,11,2.5
13-Apr,536,477,89,13,2.4,0,0,0,0,46,8.6
13-May,416,348,83.7,2,0.5,0,0,0,0,66,15.9
TOTALS,2929,2517,85.9,171,5.8,62,2.1,41,1.4,138,4.7
