,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Aug'13,0,0,0,0,8,11,597,620,605,631
Sept'13,0,0,5,4,6,7,358,390,369,401
Oct'13,2,2,7,7,12,6,397,424,418,439
Nov'13,9,9,2,3,5,5,420,410,436,427
Dec'13,0,0,3,2,6,5,427,406,436,413
Jan'14,2,1,2,2,7,7,866,837,877,847
Feb'14,2,3,2,3,5,6,414,518,423,530
Mar'14,3,3,1,2,16,12,525,558,545,575
Apr'14,2,2,1,1,22,21,560,747,585,771
May'14,2,1,2,2,34,38,291,439,329,480
TOTALS,22,21,25,26,121,118,4855,5349,5023,5514
