Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Aug14,288,150,52.1,78,27.1,22,7.6,9,3.1,27,9.4,2,0.7
Sept14,282,138,48.9,78,27.7,20,7.1,17,6.0,28,9.9,1,0.4
Oct14,469,262,55.9,119,25.4,29,6.2,24,5.1,34,7.2,1,0.2
Nov14,338,194,57.4,76,22.5,20,5.9,10,3.0,35,10.4,3,0.9
Dec14,282,148,52.5,76,27.0,9,3.2,14,5.0,34,12.1,1,0.4
Jan15,271,135,49.8,69,25.5,15,5.5,15,5.5,29,10.7,8,3.0
Feb15,410,264,64.4,71,17.3,22,5.4,7,1.7,36,8.8,10,2.4
Mar15,463,234,50.5,111,24.0,30,6.5,27,5.8,57,12.3,4,0.9
Apr15,411,222,54.0,92,22.4,33,8.0,19,4.6,39,9.5,6,1.5
May15,454,289,63.7,77,17.0,27,5.9,18,4.0,26,5.7,17,3.7
TOTALS,3668,2036,55.5,847,23.1,227,6.2,160,4.4,345,9.4,53,1.4

