Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Aug10,159,140,88.1,9,5.7,4,2.5,6,3.8,0,0
Sept10,145,121,83.4,15,10.3,5,3.4,3,2.1,1,0.7
Oct10,156,136,87.2,14,9.0,1,0.6,5,3.2,0,0
Nov10,179,147,82.1,16,8.9,10,5.6,4,2.2,2,1.1
Dec10,114,89,78.1,14,12.3,7,6.1,3,2.6,1,0.9
Jan11,129,114,88.4,11,8.5,1,0.8,2,1.6,1,0.8
Feb11,138,111,80.4,14,10.1,7,5.1,1,0.7,5,3.6
Mar11,155,133,85.8,10,6.5,4,2.6,0,0,8,5.2
Apr11,141,125,88.7,9,6.4,0,0,0,0,7,5.0
May11,177,122,68.9,0,0,0,0,0,0,55,31.1
TOTALS,1493,1238,82.9,112,7.5,39,2.6,24,1.6,80,5.4

