,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Feb',2,2,4,3,8,8,177,163,191,176
Mar',6,6,7,5,6,5,142,150,161,166
Apr',2,2,8,10,14,12,137,135,161,159
May',2,2,6,5,8,8,90,95,106,110
Jun',1,1,1,0,9,10,141,154,152,165
Jul',2,2,6,4,9,7,111,101,128,114
Aug',0,0,4,4,7,11,156,123,167,138
Sept',3,3,2,7,14,12,110,98,129,120
Oct',2,2,6,6,11,11,167,176,186,195
Nov',2,1,2,2,8,8,140,140,152,151
TOTALS,22,21,46,46,94,92,1371,1335,1533,1494
