Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
12-Feb,191,156,81.7,18,9.4,3,1.6,13,6.8,1,0.5
12-Mar,161,141,87.6,11,6.8,2,1.2,7,4.3,0,0
12-Apr,161,141,87.6,10,6.2,4,2.5,6,3.7,0,0
12-May,106,88,83,12,11.3,4,3.8,1,0.9,1,0.9
12-Jun,152,136,89.5,10,6.6,3,2,2,1.3,1,0.7
12-Jul,128,104,81.2,10,7.8,4,3.1,4,3.1,6,4.7
12-Aug,167,121,72.5,22,13.2,12,7.2,6,3.6,6,3.6
12-Sep,129,110,85.3,9,7,6,4.7,0,0,4,3.1
12-Oct,186,154,82.8,18,9.7,3,1.6,0,0,11,5.9
12-Nov,152,117,77,2,1.3,0,0,0,0,33,21.7
TOTALS,1533,1268,82.7,122,8,41,2.7,39,2.5,63,4.1
