Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Feb13,438,386,88.1,28,6.4,13,3.0,10,2.3,1,0.2
Mar13,443,404,91.2,20,4.5,3,0.7,14,3.2,2,0.5
Apr13,536,474,88.4,31,5.8,13,2.4,16,3.0,2,0.4
May13,416,380,91.3,25,6.0,6,1.4,4,1.0,1,0.2
Jun13,403,373,92.6,18,4.5,7,1.7,4,1.0,1,0.2
Jul13,482,450,93.4,14,2.9,10,2.1,6,1.2,2,0.4
Aug13,605,579,95.7,15,2.5,6,1.0,0,0,5,0.8
Sept13,369,347,94.0,19,5.1,0,0,0,0,3,0.8
Oct13,418,400,95.7,5,1.2,0,0,0,0,13,3.1
Nov13,436,401,92.0,1,0.2,0,0,0,0,34,7.8
TOTALS,4546,4194,92.3,176,3.9,58,1.3,54,1.2,64,1.4

