,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Feb',8,8,1,1,10,6,113,55,132,70
Mar',5,4,3,2,16,13,111,58,135,77
Apr',3,0,6,3,21,6,157,38,187,47
May',3,1,7,5,11,6,113,29,134,41
Jun',2,2,8,3,15,9,159,63,184,77
Jul',6,4,12,9,20,9,140,46,178,68
Aug',4,6,13,15,18,31,124,192,159,244
Sept',2,2,6,9,21,18,116,104,145,133
Oct',2,2,9,9,24,24,121,113,156,148
Nov',0,0,13,12,10,16,156,157,179,185
TOTALS,35,29,78,68,166,138,1310,855,1589,1090
