Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
10-Feb,132,117,88.6,10,7.6,3,2.3,2,1.5,0,0
10-Mar,135,127,94.1,2,1.5,5,3.7,1,0.7,0,0
10-Apr,187,172,92,10,5.3,1,0.5,4,2.1,0,0
10-May,134,116,86.6,10,7.5,6,4.5,2,1.5,0,0
10-Jun,184,163,88.6,18,9.8,0,0,1,0.5,2,1.1
10-Jul,178,163,91.6,9,5.1,3,1.7,1,0.6,2,1.1
10-Aug,159,140,88.1,9,5.7,4,2.5,1,0.6,5,3.1
10-Sep,145,121,83.4,15,10.3,5,3.4,0,0,4,2.8
10-Oct,156,136,87.2,9,5.8,0,0,0,0,11,7.1
10-Nov,179,128,71.5,0,0,0,0,0,0,51,28.5
TOTALS,1589,1383,87,92,5.8,27,1.7,12,0.8,75,4.7
