Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jan11,129,114,88.4,11,8.5,1,0.8,3,2.3,0,0
Feb11,138,110,79.7,14,10.1,7,5.1,4,2.9,3,2.2
Mar11,155,133,85.8,10,6.5,8,5.2,2,1.3,2,1.3
Apr11,141,125,88.7,12,8.5,2,1.4,1,0.7,1,0.7
May11,177,152,85.9,16,9.0,4,2.3,3,1.7,2,1.1
Jun11,135,112,83.0,13,9.6,2,1.5,3,2.2,5,3.7
Jul11,117,98,83.8,7,6.0,5,4.3,1,0.9,6,5.1
Aug11,192,161,83.9,19,9.9,3,1.6,0,0,9,4.7
Sept11,129,110,85.3,9,7.0,0,0,0,0,10,7.8
Oct11,128,91,71.1,0,0,0,0,0,0,37,28.9
TOTALS,1441,1206,83.7,111,7.7,32,2.2,17,1.2,75,5.2

