Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
10-Jan,158,143,90.5,11,7,3,1.9,1,0.6,0,0
10-Feb,132,117,88.6,10,7.6,3,2.3,2,1.5,0,0
10-Mar,135,127,94.1,2,1.5,5,3.7,1,0.7,0,0
10-Apr,187,173,92.5,10,5.3,1,0.5,3,1.6,0,0
10-May,134,116,86.6,10,7.5,6,4.5,2,1.5,0,0
10-Jun,184,163,88.6,18,9.8,0,0,0,0,3,1.6
10-Jul,178,163,91.6,9,5.1,3,1.7,1,0.6,2,1.1
10-Aug,159,140,88.1,9,5.7,3,1.9,0,0,7,4.4
10-Sep,145,121,83.4,6,4.1,0,0,0,0,18,12.4
10-Oct,156,108,69.2,0,0,0,0,0,0,48,30.8
TOTALS,1568,1371,87.4,85,5.4,24,1.5,10,0.6,78,5
