Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
11-Dec,108,92,85.2,8,7.4,7,6.5,1,0.9,0,0
12-Jan,136,113,83.1,16,11.8,3,2.2,4,2.9,0,0
12-Feb,191,156,81.7,18,9.4,3,1.6,13,6.8,1,0.5
12-Mar,161,141,87.6,11,6.8,2,1.2,6,3.7,1,0.6
12-Apr,161,141,87.6,10,6.2,4,2.5,6,3.7,0,0
12-May,106,88,83,12,11.3,4,3.8,1,0.9,1,0.9
12-Jun,152,136,89.5,10,6.6,3,2,2,1.3,1,0.7
12-Jul,128,104,81.2,10,7.8,3,2.3,0,0,11,8.6
12-Aug,167,121,72.5,15,9,5,3,0,0,26,15.6
12-Sep,129,108,83.7,4,3.1,0,0,0,0,17,13.2
TOTALS,1439,1200,83.4,114,7.9,34,2.4,33,2.3,58,4
