Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Dec12,187,149,79.7,22,11.8,4,2.1,12,6.4,0,0
Jan13,275,242,88.0,22,8.0,7,2.5,4,1.5,0,0
Feb13,438,386,88.1,28,6.4,14,3.2,10,2.3,0,0
Mar13,443,405,91.4,20,4.5,3,0.7,12,2.7,3,0.7
Apr13,536,474,88.4,31,5.8,13,2.4,5,0.9,13,2.4
May13,416,381,91.6,25,6.0,6,1.4,4,1.0,0,0
Jun13,403,374,92.8,18,4.5,7,1.7,3,0.7,1,0.2
Jul13,482,450,93.4,14,2.9,6,1.2,2,0.4,10,2.1
Aug13,605,579,95.7,12,2.0,0,0,0,0,14,2.3
Sept13,369,325,88.1,0,0,0,0,0,0,44,11.9
TOTALS,4154,3765,90.6,192,4.6,60,1.4,52,1.3,85,2.0

