,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Dec'14,2,2,2,2,24,20,254,357,282,381
Jan'15,2,1,1,1,17,17,251,277,271,296
Feb'15,4,3,0,0,29,30,377,488,410,521
Mar'15,1,1,7,2,31,20,424,433,463,456
Apr'15,2,2,0,2,27,24,382,418,411,446
May'15,2,4,4,8,19,29,429,506,454,547
Jun'15,2,2,4,2,19,22,380,429,405,455
Jul'15,1,1,1,3,24,30,291,751,317,785
Aug'15,0,0,1,1,26,28,253,401,280,430
Sept'15,1,1,4,4,25,23,256,366,286,394
TOTALS,17,17,24,25,241,243,3297,4426,3579,4711
