Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Dec14,282,148,52.5,76,27.0,9,3.2,14,5.0,35,12.4,0,0
Jan15,271,135,49.8,69,25.5,15,5.5,15,5.5,37,13.7,0,0
Feb15,410,264,64.4,70,17.1,22,5.4,7,1.7,47,11.5,0,0
Mar15,463,233,50.3,110,23.8,30,6.5,27,5.8,63,13.6,0,0
Apr15,411,221,53.8,91,22.1,33,8.0,19,4.6,46,11.2,1,0.2
May15,454,289,63.7,76,16.7,27,5.9,18,4.0,44,9.7,0,0
Jun15,405,208,51.4,100,24.7,37,9.1,18,4.4,42,10.4,0,0
Jul15,317,140,44.2,87,27.4,31,9.8,15,4.7,43,13.6,1,0.3
Aug15,280,131,46.8,78,27.9,26,9.3,9,3.2,31,11.1,5,1.8
Sept15,286,142,49.7,76,26.6,21,7.3,23,8.0,8,2.8,16,5.6
TOTALS,3579,1911,53.4,833,23.3,251,7.0,165,4.6,396,11.1,23,0.6

