[umfs02:OSG080]# vdt-control --list
Service            | Type   | Desired State
-------------------+--------+--------------
fetch-crl          | cron   | do not enable
vdt-rotate-logs    | cron   | enable
gris               | init   | do not enable
globus-gatekeeper  | inetd  | enable
gsiftp             | inetd  | enable
mysql              | init   | do not enable
globus-ws          | init   | enable
edg-mkgridmap      | cron   | do not enable
gums-host-cron     | cron   | do not enable
MLD                | init   | do not enable
vdt-update-certs   | cron   | do not enable
condor-devel       | init   | enable
apache             | init   | enable
osg-rsv            | init   | do not enable
tomcat-5           | init   | enable
syslog-ng          | init   | do not enable
